Week,Sales
2023-03-16,32
2023-03-13,32
2023-03-10,34
2023-03-07,35
2023-03-04,39
2023-03-01,25
2023-02-27,28
2023-02-23,33
2023-02-20,30
2023-02-17,32
2023-02-14,34
2023-02-11,34
2023-02-08,34
2023-02-05,33
2023-02-02,31
2023-01-30,37
2023-01-27,42
2023-01-24,46
2023-01-21,69
2023-01-18,77
2023-01-15,83
2023-01-12,82
2023-01-09,78
2023-01-06,84
2023-01-03,53
2022-12-31,75
2022-12-28,59
2022-12-25,31
2022-12-22,58
2022-12-19,23
2022-12-17,17
2022-12-13,38
2022-12-10,39
2022-12-08,10
2022-12-04,4
2022-12-03,2
2022-11-28,24
2022-11-25,27
2022-11-22,26
2022-11-19,23
2022-11-16,25
2022-11-13,23
2022-11-10,9
2022-11-07,15
2022-11-04,1
2022-11-01,1
2022-10-29,7
2022-10-26,9
2022-10-23,12
2022-10-21,12
2022-10-17,2
2022-10-14,8
2022-10-11,9
2022-10-08,13
2022-10-05,12
2022-10-02,13
2022-09-29,9
2022-09-26,11
2022-09-23,11
2022-09-20,12
2022-09-17,13
2022-09-14,13
2022-09-11,14
2022-09-08,15
2022-09-05,15
2022-09-02,15
2022-08-30,19
2022-08-27,26
2022-08-26,26
2022-08-12,27
2022-08-09,8
2022-07-31,3
2022-05-17,6
2022-05-14,5
2022-04-11,2
2022-04-08,5
2022-04-05,5
2022-04-03,5
